order_id,pizza_id,quantity
7591,green_garden_s,1.0
8724,the_greek_xl,1.0
6037,thai_ckn_m,1.0
10908,thai_ckn_m,1.0
1684,bbq_ckn_l,1.0
18339,the_greek_m,1.0
2547,classic_dlx_m,1.0
9191,hawaiian_s,1.0
11190,sicilian_m,1.0
374,big_meat_s,1.0
11859,ital_cpcllo_l,1.0
9623,ckn_alfredo_m,1.0
4021,ckn_pesto_s,1.0
1079,thai_ckn_s,1.0
5740,bbq_ckn_l,1.0
2664,prsc_argla_m,1.0
7869,southw_ckn_l,1.0
18348,cali_ckn_m,1.0
2456,pep_msh_pep_l,1.0
3861,thai_ckn_l,1.0
12256,spin_pesto_m,1.0
3325,ital_cpcllo_l,1.0
20351,classic_dlx_m,1.0
5879,ital_cpcllo_l,1.0
17514,pep_msh_pep_s,1.0
11392,ital_veggie_m,1.0
1382,mexicana_s,1.0
19478,napolitana_s,1.0
2217,sicilian_s,1.0
7911,spinach_fet_l,1.0
4575,hawaiian_l,1.0
183,spin_pesto_l,1.0
12777,spinach_fet_m,1.0
1618,pepperoni_m,1.0
13023,spinach_fet_m,1.0
3564,sicilian_m,1.0
20598,mediterraneo_s,1.0
5764,mediterraneo_s,1.0
10334,cali_ckn_m,1.0
16995,southw_ckn_s,1.0
14980,bbq_ckn_m,1.0
9084,pep_msh_pep_m,1.0
17272,spicy_ital_m,1.0
7146,spicy_ital_l,1.0
7666,ital_supr_l,1.0
7072,ital_supr_l,1.0
10675,cali_ckn_m,1.0
17155,cali_ckn_l,1.0
17193,southw_ckn_l,1.0
16769,thai_ckn_m,1.0
16696,spinach_supr_m,1.0
13698,the_greek_s,1.0
7033,ital_cpcllo_s,1.0
13212,hawaiian_l,1.0
5573,southw_ckn_l,1.0
6314,pepperoni_m,1.0
16542,veggie_veg_s,1.0
12705,soppressata_l,1.0
14747,prsc_argla_s,1.0
13372,spinach_fet_l,1.0
10079,hawaiian_l,1.0
14659,pepperoni_m,1.0
11223,peppr_salami_l,1.0
19769,southw_ckn_m,1.0
17352,the_greek_m,1.0
7470,big_meat_s,1.0
14621,sicilian_s,1.0
14300,pepperoni_l,1.0
4150,sicilian_l,1.0
11586,classic_dlx_m,1.0
13054,pepperoni_m,1.0
16573,spinach_fet_s,1.0
947,the_greek_xl,1.0
19127,five_cheese_l,2.0
15655,thai_ckn_l,1.0
9685,classic_dlx_s,1.0
15258,four_cheese_m,1.0
7554,bbq_ckn_l,1.0
